Meta de Refacciones Mostrador  2026,,,
Mes ,Grupo,Mexicali ,Tijuana
Enero ,715145.992,177593.24,537552.752
Febrero,562452.528,129724.298,432728.23
Marzo ,573694.66,131582.495,442112.165
Abril,658756.758,135521.474,523235.284
Mayo,747326.547,163130.726,584195.821
Junio,629946.361,121845.053,508101.308
Julio,621214.055,117161.242,504052.813
Agosto,538725.154,109137.985,429587.169
Septiembre,598692.655,116780.059,481912.596
Octubre,535497.765,128908.868,406588.897
Noviembre,526780.375,145160.114,381620.261
Diciembre,536666.295,132764.665,403901.63
Total ,7244899.145,1609310.219,5635588.926
,,,
,,,
Meta de Mano de Obra  2026,,,
Mes ,Grupo,Mexicali ,Tijuana
Enero ,242723.294,68035.396,164710.557
Febrero,198847.143,50238.177,168902.503
Marzo ,248957.665,71522.264,235944.049
Abril,221293.391,63160.779,166854.204
Mayo,255199.142,61200.733,214632.176
Junio,281191.966,82931.398,176277.343
Julio,301163.819,64219.661,263326.371
Agosto,256231.734,48380.706,201134.219
Septiembre,228168.82,71211.613,198780.604
Octubre,291648.181,108290.336,207863.898
Noviembre,247946.82,73729.337,196634.262
Diciembre,219076.253,67856.778,177623.6
Total ,2992448.228,830777.178,2372683.786
,,,
,,,
,,,
Meta de Refacciones de Taller 2026,,,
Mes ,Grupo,Mexicali ,Tijuana
Enero ,232865.688,68155.131,164710.557
Febrero,223560.623,54658.12,168902.503
Marzo ,327550.685,91606.636,235944.049
Abril,219353.354,52499.15,166854.204
Mayo,282817.898,68185.722,214632.176
Junio,238182.219,61904.876,176277.343
Julio,334139.113,70812.742,263326.371
Agosto,273794.576,72660.357,201134.219
Septiembre,276554.883,77774.279,198780.604
Octubre,302835.709,94971.811,207863.898
Noviembre,261718.083,65083.821,196634.262
Diciembre,254141.635,76518.035,177623.6
Total ,3227514.466,854830.68,2372683.786
